0	﻿خواهشا	﻿خواهشا	﻿خواهشا	﻿خواهشا	N
4	رو	رو|رو|رو|رو	رو|رو|رو|رو	رو|رو|رو|رو	N1|V|V|N9	اسم|فعل امر مثبت|فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
5	بدون	بدون	بدون	بدون	Pr	حرف اضافه
6	وایسادن	وایسادن	وایسادن	وایسادن	N
7	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
8	کم	کم|کم	کم|کم	کم|کم	A0|N1	صفت|اسم
9	کردن	کرد	کرد	کرد+ن	V2+Neg	بن ماضی + ن
10	سرعت	سرعت	سرعت	سرعت	N1	اسم
11	دوییدم	دو|دو	دو|دو	دو+یید+م|دو+یید+م	V|V	دوم شخص جمع|دوم شخص جمع
12	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
13	خیلی	خیلی|خیلی|خیل	خیلی|خیلی|خیل	خیلی|خیلی|خیل+ی	A0|Ad|N1+Y	صفت|قید|اسم + ی
14	حال	حال	حال	حال	N1	اسم
15	داد	داد|داد	داد|داد	داد|داد	V|N1	سوم شخص مفرد|اسم
16	.	.	.	.	Si	

0	چرا	چرا|چرا|چرا	چرا|چرا|چرا	چرا|چرا|چرا	NA|N1|N1	ضمیر پرسشی|اسم|اسم
1	دیگه	دیگ	دیگ	دیگ+ه	N1+O	اسم + ه
2	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
3	گربه‌ها	گربه	گربه	گربه+ها	N1+Pl	اسم + علامت جمع
4	مجید	مجید	مجید	مجید	N3	اسم خاص اشخاص
5	نمیگن	نمیگن	نمیگن	نمیگن	N
6	؟	؟	؟	؟	Si	

0	می‌تونه	می تونه	می تونه	می تونه	N
1	کامل	کامل	کامل	کامل	A0	صفت
2	حالتو	حالتو	حالتو	حالتو	N
3	خوب	خوب	خوب	خوب	A0	صفت
4	کنه	کنه|کنه|کن|کن	کنه|کنه|کن|کن	کنه|کنه|کن+ه|کن+ه	N1|N1|V1+O|V1+O	اسم|اسم|بن مضارع + ه|بن مضارع + ه
5	.	.	.	.	Si	

0	پیاده	پیاده	پیاده	پیاده	A0	صفت
1	شدم	شد	شد	شد+م	V	اول شخص مفرد
2	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
3	الان	الان	الان	الان	Ad	قید
4	دارم	دار|دار|دار	دار|دار|دار	دار+م|دار+م|دار+م	V|N1+N|N1+V	اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
5	پیاده	پیاده	پیاده	پیاده	A0	صفت
6	میرم	میر|میر|میر	میر|میر|میر	میر+م|میر+م|میر+م	V|N1+N|N1+V	اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
7	!	!	!	!	Si	

0	پسر	پسر	پسر	پسر	N1	اسم
1	عمه‌ام	عمه|عمه|عم|عم	عمه|عمه|عم|عم	عمه+ام|عمه+ام|عم+ه+ام|عم+ه+ام	N1+N|N1+V|N1+O+N|N1+O+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|اسم + ه + ضمیر ملکی اول شخص مفرد|اسم + ه + فعل اول شخص مفرد
2	رو	رو|رو|رو|رو	رو|رو|رو|رو	رو|رو|رو|رو	N1|V|V|N9	اسم|فعل امر مثبت|فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
3	شب	شب	شب	شب	N1	اسم
4	یه	یه	یه	یه	N1	اسم
5	بار	بار|بار	بار|بار	بار|بار	V|N1	فعل امر مثبت|اسم
6	تو	تو|تو|تو	تو|تو|تو	تو|تو|تو	N5|Ad|N1	ضمیر فاعلی|قید|اسم
7	همین	همین|همین	همین|همین	همین|همین	A1|N6	صفت اشاره|ضمیر اشاره
8	مسیر	مسیر	مسیر	مسیر	N1	اسم
9	می‌خواستند	خواست|خواست	خواست|خواست	می+خواست+ند|می+خواست+ند	V|O+V5+V	سوم شخص جمع|می + فعل کمکی + فعل سوم شخص جمع
10	بکننش	بکننش	بکننش	بکننش	N
11	تو	تو|تو|تو	تو|تو|تو	تو|تو|تو	N5|Ad|N1	ضمیر فاعلی|قید|اسم
12	صندوق	صندوق	صندوق	صندوق	N1	اسم
13	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
14	فرار	فرار|فرار	فرار|فرار	فرار|فرار	N1|A0	اسم|صفت
15	کرد	کرد|کرد	کرد|کرد	کرد|کرد	V|N1	سوم شخص مفرد|اسم
16	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
17	با	با	با	با	Pr	حرف اضافه
18	گریه	گریه|گری|گری	گریه|گری|گری	گریه|گری+ه|گری+ه	N1|V1+O|N1+O	اسم|بن مضارع + ه|اسم + ه
19	اومد	اومد	اومد	اومد	N
20	خونه	خون	خون	خون+ه	N1+O	اسم + ه
21	.	.	.	.	Si	

0	۴۰	۴۰	۴۰	۴۰	No	عدد رقمی
1	دقیقه	دقیقه|دقیق	دقیقه|دقیق	دقیقه|دقیق+ه	N1|A0+O	اسم|صفت + ه
2	اس	اس|اس	اس|اس	اس|اس	Ab|N1	اختصارات|اسم
3	تو	تو|تو|تو	تو|تو|تو	تو|تو|تو	N5|Ad|N1	ضمیر فاعلی|قید|اسم
4	ماشینم	ماشین|ماشین|ماش|ماش	ماشین|ماشین|ماش|ماش	ماشین+م|ماشین+م|ماش+ین+م|ماش+ین+م	N1+N|N1+V|N1+O+N|N1+O+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|اسم + ین + ضمیر ملکی اول شخص مفرد|اسم + ین + فعل اول شخص مفرد
5	منتظر	منتظر	منتظر	منتظر	A0	صفت
6	.	.	.	.	Si	

0	یه	یه	یه	یه	N1	اسم
1	نفر	نفر	نفر	نفر	N1	اسم
2	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
3	بیاد	یاد	یاد	ب+یاد	O+N1	ب + اسم
4	سوار	سوار	سوار	سوار	N1	اسم
5	شه	شه	شه	شه	N1	اسم
6	بریم	بر|بر|بر|بر|بر	بر|بر|بر|بر|بر	بر+یم|بر+یم|بر+ی+م|بر+ی+م|بر+یم	V|V|V|V|N1+V	اول شخص جمع|اول شخص جمع|دوم شخص مفرد|دوم شخص مفرد|اسم + فعل اول شخص جمع
7	!	!	!	!	Si	

0	الان	الان	الان	الان	Ad	قید
1	دلم	دل|دل	دل|دل	دل+م|دل+م	N1+N|N1+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
2	میخواد	میخواد	میخواد	میخواد	N
3	۴	۴	۴	۴	No	عدد رقمی
4	نفر	نفر	نفر	نفر	N1	اسم
5	حساب	حساب	حساب	حساب	N1	اسم
6	کنم	کن|کن	کن|کن	کن+م|کن+م	V|V	اول شخص مفرد|اول شخص مفرد
7	بره	بره|بره|بر|بر|بر	بره|بره|بر|بر|بر	بره|بره|بر+ه|بر+ه|بر+ه	N1|N1|V1+O|V1+O|N1+O	اسم|اسم|بن مضارع + ه|بن مضارع + ه|اسم + ه
8	!	!	!	!	Si	

0	ولی	ولی|ولی|ول|ول	ولی|ولی|ول|ول	ولی|ولی|ول+ی|ول+ی	C0|N1|A0+Y|N1+Y	حرف ربط|اسم|صفت + ی|اسم + ی
1	میگم	میگ|میگ	میگ|میگ	میگ+م|میگ+م	N1+N|N1+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
2	اگه	اگه	اگه	اگه	N
3	میخواستی	خواست|خواست	خواست|خواست	می+خواست+ی|می+خواست+ی	V|O+V5+Y	دوم شخص مفرد|می + فعل کمکی + ی
4	چهار	چهار	چهار	چهار	No	عدد حرفی
5	نفر	نفر	نفر	نفر	N1	اسم
6	حساب	حساب	حساب	حساب	N1	اسم
7	کنی	کن|کن	کن|کن	کن+ی|کن+ی	V|V	دوم شخص مفرد|دوم شخص مفرد
8	۴۰	۴۰	۴۰	۴۰	No	عدد رقمی
9	دقیقه	دقیقه|دقیق	دقیقه|دقیق	دقیقه|دقیق+ه	N1|A0+O	اسم|صفت + ه
10	پیش	پیش|پیش|پی	پیش|پیش|پی	پیش|پیش|پی+ش	A0|N9|N1+N	صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ضمیر ملکی سوم شخص مفرد
11	اینکار	اینکار	اینکار	اینکار	N
12	رو	رو|رو|رو|رو	رو|رو|رو|رو	رو|رو|رو|رو	N1|V|V|N9	اسم|فعل امر مثبت|فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
13	میکردی	کرد	کرد	می+کرد+ی	V	دوم شخص مفرد
14	.	.	.	.	Si	

0	انقد	انقد	انقد	انقد	N
1	دیر	دیر|دیر|دیر	دیر|دیر|دیر	دیر|دیر|دیر	V|Ad|N1	فعل امر مثبت|قید|اسم
2	جوابشو	جوابشو	جوابشو	جوابشو	N
3	دادم	داد|داد|داد	داد|داد|داد	داد+م|داد+م|داد+م	V|N1+N|N1+V	اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
4	خوابید	خوابید|خواب|خواب	خوابید|خواب|خواب	خوابید|خواب+ید|خواب+ید	V|V|N1+V	سوم شخص مفرد|دوم شخص جمع|اسم + فعل دوم شخص جمع
5	بنده	بنده|بند|بند	بنده|بند|بند	بنده|بند+ه|بند+ه	N1|V1+O|N1+O	اسم|بن مضارع + ه|اسم + ه
6	خدا	خدا	خدا	خدا	N1	اسم
7	.	.	.	.	Si	

0	اقا	اقا	اقا	اقا	N
1	دقت	دقت|دق	دقت|دق	دقت|دق+ت	N1|N1+N	اسم|اسم + ضمیر ملکی دوم شخص مفرد
2	کردین	کرد	کرد	کرد+ین	N1+O	اسم + ین
3	همونجور	همونجور	همونجور	همونجور	N
4	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
5	هوای	هوا	هوا	هوا+ی	N1+Y	اسم + ی
6	دوستتونو	دوستتونو	دوستتونو	دوستتونو	N
7	دارین	دار	دار	دار+ین	N1+O	اسم + ین
8	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
9	سعی	سعی	سعی	سعی	A0	صفت
10	میکنین	میکنین	میکنین	میکنین	N
11	از	از	از	از	Pr	حرف اضافه
12	ناراحتی	ناراحتی|ناراحت|راحت	ناراحتی|ناراحت|راحت	ناراحتی|ناراحت+ی|نا+راحت+ی	N1|A0+Y|Neg+A0+Y	اسم|صفت + ی|نا + صفت + ی
13	درش	در|در|در	در|در|در	در+ش|در+ش|در+ش	V|N1+N|N1+N	سوم شخص مفرد|اسم + ضمیر ملکی سوم شخص مفرد|اسم + ضمیر ملکی سوم شخص مفرد
14	بیارین	بیارین	بیارین	بیارین	N
15	،	،	،	،	Si	
16	میتونین	میتونین	میتونین	میتونین	N
17	حال	حال	حال	حال	N1	اسم
18	خودتونم	خودتونم	خودتونم	خودتونم	N
19	خوب	خوب	خوب	خوب	A0	صفت
20	کنین	کنین	کنین	کنین	N
21	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
22	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
23	درد	درد|درد|در	درد|درد|در	درد|درد|در+د	N1|N1|V	اسم|اسم|سوم شخص مفرد
24	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
25	دلای	دلای	دلای	دلای	N
26	خودتونم	خودتونم	خودتونم	خودتونم	N
27	گوش	گوش	گوش	گوش	N1	اسم
28	کنین	کنین	کنین	کنین	N
29	؟	؟	؟	؟	Si	

0	همانطور	همانطور	همانطور	همانطور	N
1	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
2	آگاه	آگاه|آگاه	آگاه|آگاه	آگاه|آگاه	V|A0	فعل امر مثبت|صفت
3	هستید	هست|هست	هست|هست	هست+ید|هست+ید	V|N1+V	دوم شخص جمع|اسم + فعل دوم شخص جمع
4	آنچه	آنچه	آنچه	آنچه	N1	اسم
5	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
6	بنده	بنده|بند|بند	بنده|بند|بند	بنده|بند+ه|بند+ه	N1|V1+O|N1+O	اسم|بن مضارع + ه|اسم + ه
7	عرض	عرض|عرض|عرض	عرض|عرض|عرض	عرض|عرض|عرض	N1|N1|N1	اسم|اسم|اسم
8	کرده_بودم	کرده_بودم	کرده_بودم	کرده_بودم	N
9	نظر	نظر|نظر	نظر|نظر	نظر|نظر	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
10	شخصی	شخصی|شخص	شخصی|شخص	شخصی|شخص+ی	A0|N1+Y	صفت|اسم + ی
11	بوده	بود|بود|بود	بود|بود|بود	بود+ه|بود+ه|بود+ه	O+O|N1+O|V3+O	ریشه ماضی + ه|اسم + ه|فعل اسنادی + ه
12	.	.	.	.	Si	

0	وقتی	وقتی|وقت	وقتی|وقت	وقتی|وقت+ی	Ad|N1+Y	قید|اسم + ی
1	از	از	از	از	Pr	حرف اضافه
2	چیزی	چیزی|چیز	چیزی|چیز	چیزی|چیز+ی	Ad|N1+Y	قید|اسم + ی
3	مطمئنی	مطمئن	مطمئن	مطمئن+ی	A0+Y	صفت + ی
4	نیستید	نیست|است	نیست|است	نیست+ید|نی+است+ید	N1+V|V	اسم + فعل دوم شخص جمع|دوم شخص جمع
5	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
6	کسی	کسی	کسی	کسی	A2	صفت مبهم
7	قول	قول	قول	قول	N1	اسم
8	ندید	دید	دید	ن+دید	V	سوم شخص مفرد
9	!!	!!	!!	!!	Si	

0	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
1	اگه	اگه	اگه	اگه	N
2	قول	قول	قول	قول	N1	اسم
3	می‌دید	دید	دید	می+دید	V	سوم شخص مفرد
4	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
5	حرفاتون	حرفاتون	حرفاتون	حرفاتون	N
6	عمل	عمل	عمل	عمل	N1	اسم
7	کنید	کن|کن	کن|کن	کن+ید|کن+ید	V|V	دوم شخص جمع|دوم شخص جمع
8	…	…	…	…	N
9	امیدوارم	امیدوار|امیدوار|امید|امید	امیدوار|امیدوار|امید|امید	امیدوار+م|امیدوار+م|امید+وار+م|امید+وار+م	A0+N|A0+V|A0+O+N|A0+O+V	صفت + ضمیر ملکی اول شخص مفرد|صفت + فعل اول شخص مفرد|صفت + وار + ضمیر ملکی اول شخص مفرد|صفت + وار + فعل اول شخص مفرد
10	قبل	قبل|قبل|قبل	قبل|قبل|قبل	قبل|قبل|قبل	Ad|N1|N9	قید|اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
11	از	از	از	از	Pr	حرف اضافه
12	بیرون	بیرون	بیرون	بیرون	N1	اسم
13	اومدن	اومدن	اومدن	اومدن	N
14	فراموش	فراموش|موش	فراموش|موش	فراموش|فرا+موش	N1|O+N1	اسم|فرا + اسم
15	نکنم	کن|کن	کن|کن	ن+کن+م|ن+کن+م	V|V	اول شخص مفرد|اول شخص مفرد
16	.	.	.	.	Si	

0	من	من	من	من	N5	ضمیر فاعلی
1	آخر	آخر	آخر	آخر	N1	اسم
2	از	از	از	از	Pr	حرف اضافه
3	انگشت	انگشت	انگشت	انگشت	N1	اسم
4	کوچیکه	کوچی	کوچی	کوچی+ک+ه	A0+O+O	صفت + ک + ه
5	پای	پای|پا|پا	پای|پا|پا	پای|پا+ی|پا+ی	N1|V|N1+Y	اسم|دوم شخص مفرد|اسم + ی
6	راست	راست	راست	راست	A0	صفت
7	می‌میرم	میر	میر	می+میر+م	V	اول شخص مفرد
8	.	.	.	.	Si	

0	همیشه	همیشه	همیشه	همیشه	Ad	قید
1	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
2	قرار	قرار|قرار	قرار|قرار	قرار|قرار	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
3	نیست	نیست|است|نی	نیست|است|نی	نیست|نی+است|نی+ست	N1|V|N1+N	اسم|سوم شخص مفرد|اسم + ضمیر ملکی سوم شخص مفرد
4	اون	اون	اون	اون	N
5	چیزی	چیزی|چیز	چیزی|چیز	چیزی|چیز+ی	Ad|N1+Y	قید|اسم + ی
6	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
7	ما	ما	ما	ما	N5	ضمیر فاعلی
8	میخوایم	میخوایم	میخوایم	میخوایم	N
9	بشه	شه	شه	ب+شه	O+N1	ب + اسم
10	!!	!!	!!	!!	Si	

0	یکم	یک|یک	یک|یک	یک+م|یک+م	No+N|No+V	عدد حرفی + ضمیر ملکی اول شخص مفرد|عدد حرفی + فعل اول شخص مفرد
1	از	از	از	از	Pr	حرف اضافه
2	خودتون	خودتون	خودتون	خودتون	N
3	انعطاف‌پذیری	انعطاف‌پذیری|انعطاف‌پذیر|انعطاف	انعطاف‌پذیری|انعطاف‌پذیر|انعطاف	انعطاف‌پذیری|انعطاف‌پذیر+ی|انعطاف+پذیر+ی	N1|A0+Y|N1+O+Y	اسم|صفت + ی|اسم + پذیر + ی
4	نشون	نشون	نشون	نشون	N
5	بدین	بدین	بدین	بدین	Pr	حرف اضافه
6	!!	!!	!!	!!	Si	

0	ضربه	ضربه|ضرب	ضربه|ضرب	ضربه|ضرب+ه	N1|N1+O	اسم|اسم + ه
1	آزاد	آزاد	آزاد	آزاد	A0	صفت
2	شده	شد	شد	شد+ه	V3+O	فعل اسنادی + ه
3	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
4	کارگردان	کارگردان|کارگر|کار	کارگردان|کارگر|کار	کارگردان|کارگر+دان|کار+گر+دان	N1|N1+Pl|N1+O+Pl	اسم|اسم + دان|اسم + گر + دان
5	بکام	کام	کام	ب+کام	O+N1	ب + اسم
6	رو	رو|رو|رو|رو	رو|رو|رو|رو	رو|رو|رو|رو	N1|V|V|N9	اسم|فعل امر مثبت|فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
7	نشون	نشون	نشون	نشون	N
8	میده	میده	میده	میده	N
9	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
10	لبخند	لبخند	لبخند	لبخند	N1	اسم
11	رو	رو|رو|رو|رو	رو|رو|رو|رو	رو|رو|رو|رو	N1|V|V|N9	اسم|فعل امر مثبت|فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
12	لبشه	لب|لب	لب|لب	لب+ش+ه|لب+ش+ه	N1+N+O|N1+N+O	اسم + ضمیر ملکی سوم شخص مفرد + ه|اسم + ضمیر ملکی سوم شخص مفرد + ه
13	…	…	…	…	N

0	همه	همه|همه	همه|همه	همه|همه	N1|A2	اسم|صفت مبهم
1	دلشون	دلشون	دلشون	دلشون	N
2	میخواست	خواست|خواست	خواست|خواست	می+خواست|می+خواست	V|O+V5	سوم شخص مفرد|می + فعل کمکی
3	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
4	اون	اون	اون	اون	N
5	پشت	پشت|پش	پشت|پش	پشت|پش+ت	N1|N1+N	اسم|اسم + ضمیر ملکی دوم شخص مفرد
6	توپ	توپ|توپ	توپ|توپ	توپ|توپ	V|N1	فعل امر مثبت|اسم
7	وای‌میستاد	وای میستاد	وای میستاد	وای میستاد	N
8	…	…	…	…	N

0	چقدر	چقدر	چقدر	چقدر	Ad	قید
1	با	با	با	با	Pr	حرف اضافه
2	شنیدن	شنید	شنید	شنید+ن	V2+Neg	بن ماضی + ن
3	این	این|این	این|این	این|این	A1|N6	صفت اشاره|ضمیر اشاره
4	آهنگ	آهنگ	آهنگ	آهنگ	N1	اسم
5	دوییدم	دو|دو	دو|دو	دو+یید+م|دو+یید+م	V|V	دوم شخص جمع|دوم شخص جمع
6	جلو	جلو	جلو	جلو	A0	صفت
7	تلویزیون	تلویزیون	تلویزیون	تلویزیون	N1	اسم
8	.	.	.	.	Si	

0	سعی	سعی	سعی	سعی	A0	صفت
1	کنید	کن|کن	کن|کن	کن+ید|کن+ید	V|V	دوم شخص جمع|دوم شخص جمع
2	وقتی	وقتی|وقت	وقتی|وقت	وقتی|وقت+ی	Ad|N1+Y	قید|اسم + ی
3	از	از	از	از	Pr	حرف اضافه
4	خواب	خواب|خواب	خواب|خواب	خواب|خواب	V|N1	فعل امر مثبت|اسم
5	بیدار	بیدار|دار	بیدار|دار	بیدار|بی+دار	A0|O+N1	صفت|بی + اسم
6	می‌شید	میش	میش	میش+ید	N1+V	اسم + فعل دوم شخص جمع
7	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
8	می‌خواید	می خواید	می خواید	می خواید	N
9	خوابی	خواب|خواب	خواب|خواب	خواب+ی|خواب+ی	V|N1+Y	دوم شخص مفرد|اسم + ی
10	رو	رو|رو|رو|رو	رو|رو|رو|رو	رو|رو|رو|رو	N1|V|V|N9	اسم|فعل امر مثبت|فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
11	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
12	دیدید	دید|دید	دید|دید	دید+ید|دید+ید	V|N1+V	دوم شخص جمع|اسم + فعل دوم شخص جمع
13	بنویسید	نویس	نویس	ب+نویس+ید	V	دوم شخص جمع
14	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
15	یادتون	یادتون	یادتون	یادتون	N
16	بمونه	بمونه	بمونه	بمونه	N
17	اطلاعات	اطلاعات|اطلاع	اطلاعات|اطلاع	اطلاعات|اطلاع+ات	N1|N1+Pl	اسم|اسم + علامت جمع
18	رو	رو|رو|رو|رو	رو|رو|رو|رو	رو|رو|رو|رو	N1|V|V|N9	اسم|فعل امر مثبت|فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
19	دقیق	دقیق	دقیق	دقیق	A0	صفت
20	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
21	ریز	ریز|ریز	ریز|ریز	ریز|ریز	V|A0	فعل امر مثبت|صفت
22	بنویسید	نویس	نویس	ب+نویس+ید	V	دوم شخص جمع
23	.	.	.	.	Si	

0	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
1	نظرم	نظر|نظر	نظر|نظر	نظر+م|نظر+م	N1+N|N1+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
2	باید	باید	باید	باید	V4	فعل وجه نما
3	اول	اول	اول	اول	A0	صفت
4	یکم	یک|یک	یک|یک	یک+م|یک+م	No+N|No+V	عدد حرفی + ضمیر ملکی اول شخص مفرد|عدد حرفی + فعل اول شخص مفرد
5	بیشتر	بیشتر|بیش|شتر	بیشتر|بیش|شتر	بیشتر|بیش+تر|بی+شتر	A0|A0+A|O+N1	صفت|صفت + علامت صفت تفضیلی|بی + اسم
6	لذت	لذت	لذت	لذت	N1	اسم
7	ببرم	ببر|ببر|برم|بر|بر|بر|بر	ببر|ببر|برم|بر|بر|بر|بر	ببر+م|ببر+م|ب+برم|ب+بر+م|ب+بر+م|ب+بر+م|ب+بر+م	N1+N|N1+V|O+N1|V|V|O+N1+N|O+N1+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|ب + اسم|اول شخص مفرد|اول شخص مفرد|ب + اسم + ضمیر ملکی اول شخص مفرد|ب + اسم + فعل اول شخص مفرد
8	.	.	.	.	Si	

0	از	از	از	از	Pr	حرف اضافه
1	خوبیای	خوبیای	خوبیای	خوبیای	N
2	ماشین	ماشین|ماش	ماشین|ماش	ماشین|ماش+ین	N1|N1+O	اسم|اسم + ین
3	داشتن	داشت	داشت	داشت+ن	V2+Neg	بن ماضی + ن
4	اینه	اینه	اینه	اینه	N1	اسم
5	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
6	از	از	از	از	Pr	حرف اضافه
7	اولین	اولین|اول	اولین|اول	اولین|اول+ین	A0|A0+O	صفت|صفت + ین
8	لحظات	لحظات|لحظ	لحظات|لحظ	لحظات|لحظ+ات	N1|N1+Pl	اسم|اسم + علامت جمع
9	تا	تا|تا|تا	تا|تا|تا	تا|تا|تا	Pr|C0|Ab	حرف اضافه|حرف ربط|اختصارات
10	آخرین	آخر	آخر	آخر+ین	N1+O	اسم + ین
11	لحظات	لحظات|لحظ	لحظات|لحظ	لحظات|لحظ+ات	N1|N1+Pl	اسم|اسم + علامت جمع
12	با	با	با	با	Pr	حرف اضافه
13	دوستان	دوست	دوست	دوست+ان	N1+Pl	اسم + ان
14	هستی	هستی|هست|هست	هستی|هست|هست	هستی|هست+ی|هست+ی	N1|V|N1+Y	اسم|دوم شخص مفرد|اسم + ی
15	.	.	.	.	Si	

0	بالغ	بالغ	بالغ	بالغ	A0	صفت
1	بر	بر|بر|بر|بر|بر	بر|بر|بر|بر|بر	بر|بر|بر|بر|بر	Pr|V|V|VPr|N1	حرف اضافه|فعل امر مثبت|فعل امر مثبت|پیشوند فعل|اسم
2	۱۲	۱۲	۱۲	۱۲	No	عدد رقمی
3	ساعت	ساعت	ساعت	ساعت	N1	اسم
4	لذت	لذت	لذت	لذت	N1	اسم
5	بردیم	ردیم|برد|برد|برد|ردی|ردی|رد	ردیم|برد|برد|برد|ردی|ردی|رد	ب+ردیم|برد+یم|برد+ی+م|برد+یم|ب+ردی+م|ب+ردی+م|ب+رد+یم	O+N1|V|V|N1+V|O+N1+N|O+N1+V|O+A0+V	ب + اسم|اول شخص جمع|دوم شخص مفرد|اسم + فعل اول شخص جمع|ب + اسم + ضمیر ملکی اول شخص مفرد|ب + اسم + فعل اول شخص مفرد|ب + صفت + فعل اول شخص جمع
6	از	از	از	از	Pr	حرف اضافه
7	همجواری	همجواری|همجوار|جوار	همجواری|همجوار|جوار	همجواری|همجوار+ی|هم+جوار+ی	N1|A0+Y|O+N1+Y	اسم|صفت + ی|هم + اسم + ی
8	دوستان	دوست	دوست	دوست+ان	N1+Pl	اسم + ان
9	.	.	.	.	Si	

0	بالاخره	بالاخره	بالاخره	بالاخره	Ad	قید
1	اینکه	اینکه	اینکه	اینکه	Ad	قید
2	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
3	همه	همه|همه	همه|همه	همه|همه	N1|A2	اسم|صفت مبهم
4	جواب	جواب	جواب	جواب	N1	اسم
5	میدم	مید	مید	مید	N
6	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
7	یه	یه	یه	یه	N1	اسم
8	دردی	دردی|درد|درد	دردی|درد|درد	دردی|درد+ی|درد+ی	N4|N1+Y|N1+Y	اسم فامیل|اسم + ی|اسم + ی
