
0	ما	ما	﻿ما	ما	N5	ضمیر فاعلی
4	قطعات	قطعات|قطع	قطعه	قطعات|قطع+ات	Pl+N1|N1	اسم|اسم + علامت جمع
5	حساس	حساس	حساس	حساس	A0	صفت
6	برد	برد|برد|بر|رد	برد	برد|برد|بر+د|ب+رد	A0+O|N1|v2|O+v1	فعل ماضی ساده:سوم شخص مفرد|اسم|فعل مضارع ساده:سوم شخص مفرد|ب + صفت
7	موبایل	موبایل	موبایل	موبایل	N1	اسم
8	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
9	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
10	خراب	خراب	خراب	خراب	A0	صفت
11	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
12	آن	ان	آن	ان	Ab	اختصارات
13	باعث	باعث	باعث	باعث	N1	اسم
14	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
15	وجود	وجود|وجود	وجود	وجود|وجود	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
16	آمدن	آمدن	آمدن	آمدن	O	N1
17	عیوب	عیب	عیوب	عیب	O	اسم مفرد جمع مکسر
18	از	از	از	از	Pr	حرف اضافه
19	قبیل	قبیل	قبیل	قبیل	N9	اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
20	پرش	پرش|پرش|پر|پر|پر	پرش	پرش|پرش|پر+ش|پر+ش|پر+ش	O+N1|O+A0|N1|N1|O+v1	اسم|اسم|فعل مضارع ساده:سوم شخص مفرد|صفت + ضمیر ملکی سوم شخص مفرد|اسم + ضمیر ملکی سوم شخص مفرد
21	آنتن	آنتن	آنتن	آنتن	N1	اسم
22	یا	یا|یا	یا	یا|یا	Intj|C0	حرف ربط|صوت
23	نداشتن	داشت	نداشتن	ن+داشت+ن	Neg+V2+Neg	ن + بن ماضی + ن
24	دریافت	دریافت|دریافت	دریافت	دریافت|دریافت	N1|v2	فعل ماضی ساده:سوم شخص مفرد|اسم
25	یا	یا|یا	یا	یا|یا	Intj|C0	حرف ربط|صوت
26	ارسال	ارسال	ارسال	ارسال	N1	اسم
27	شد | شو	شد | شو	شد | شو	شد | شو	O	
28	.	.	.	.	Si	علامت نگارشی

0	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
1	مورد	مورد|مورد|مورد	مورد	مورد|مورد|مورد	N1|N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم
2	سلف	سلف|سلف	سلف	سلف|سلف	N1|N1	اسم|اسم
3	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
4	خازن	خازن	خازن	خازن	N1	اسم
5	قبل	قبل|قبل|قبل	قبل	قبل|قبل|قبل	N1|N9|Ad	قید|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم
6	از	از	از	از	Pr	حرف اضافه
7	اتصال	اتصال	اتصال	اتصال	N1	اسم
8	آنتن	آنتن	آنتن	آنتن	N1	اسم
9	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
10	آنتن	آنتن	آنتن	آنتن	N1	اسم
11	سوییچ	سوییچ	سوییچ	سوییچ	N1	اسم
12	نیز	نیز|آز	نیز	نیز|نی+آز	V6|Ad	قید|فعل امر منفی
13	از	از	از	از	Pr	حرف اضافه
14	آن	ان	آن	ان	Ab	اختصارات
15	جا	جا	جا	جا	N1	اسم
16	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
17	امپدانس	امپدانس	امپدانس	امپدانس	O	N1
18	خروج	خروج	خروج	خروج	N1	اسم
19	آنتن	آنتن	آنتن	آنتن	N1	اسم
20	بسیار	بسیار|بسیار|سیار|بس	بسیار	بسیار|بسیار|ب+سیار|بس+یار	O+A0|A0+O|Ad|A0	صفت|قید|ب + صفت|صفت + یار
21	کم	کم|کم	کم	کم|کم	N1|A0	صفت|اسم
22	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
23	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
24	از	از	از	از	Pr	حرف اضافه
25	طرف	طرف	طرف	طرف	N1	اسم
26	امپدانس	امپدانس	امپدانس	امپدانس	O	N1
27	ورود	ورود|ود	ورود	ورود|ور+ود	N1+O|N1	اسم|ور + اسم
28	آنتن	آنتن	آنتن	آنتن	N1	اسم
29	زیاد	زیاد	زیاد	زیاد	A0	صفت
30	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
31	،	،	،	،	O	
32	باید	باید	باید	باید	V4	فعل وجه نما
33	قبل	قبل|قبل|قبل	قبل	قبل|قبل|قبل	N1|N9|Ad	قید|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم
34	از	از	از	از	Pr	حرف اضافه
35	اتصال	اتصال	اتصال	اتصال	N1	اسم
36	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
37	دو	دو|دو|دو	دو	دو|دو|دو	N1|V6|No	عدد حرفی|فعل امر مثبت|اسم
38	،	،	،	،	O	
39	عمل	عمل	عمل	عمل	N1	اسم
40	تطبیق	تطبیق	تطبیق	تطبیق	N1	اسم
41	امپدانس	امپدانس	امپدانس	امپدانس	O	N1
42	توسط	توسط|توسط	توسط	توسط|توسط	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
43	قطعه	قطعه|قطع	قطعه	قطعه|قطع+ه	O+N1|N1	اسم|اسم + ه
44	انجام	انجام|انجام	انجام	انجام|انجام	V6|N1	اسم|فعل امر مثبت
45	شد | شو	شد | شو	شد | شو	شد | شو	O	
46	.	.	.	.	Si	علامت نگارشی

0	معمولا	معمولاً	معمولا	معمولاً	Ad	قید
1	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
2	مدارات	مدار	مدار	مدار+ات	Pl+N1	اسم + علامت جمع
3	،	،	،	،	O	
4	قسمت	قسمت|قسم|قسم	قسمت	قسمت|قسم+ت|قسم+ت	O+N1|O+N2|N1	اسم|اسم خاص مکان + ضمیر ملکی دوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
5	آنتن	آنتن	آنتن	آنتن	N1	اسم
6	موبایل	موبایل	موبایل	موبایل	N1	اسم
7	از	از	از	از	Pr	حرف اضافه
8	یک	یک	یک	یک	No	عدد حرفی
9	سلف	سلف|سلف	سلف	سلف|سلف	N1|N1	اسم|اسم
10	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
11	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
12	صورت	صورت|صورت|صور	صورت	صورت|صورت|صور+ت	O+N1|N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ضمیر ملکی دوم شخص مفرد
13	موازی	موازی	موازی	موازی	A0	صفت
14	بین	بین|بین|بین|ین	بین	بین|بین|بین|ب+ین	N1+O|N9|A0|V6	فعل امر مثبت|صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|ب + اسم
15	آنتن	آنتن	آنتن	آنتن	N1	اسم
16	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
17	زمین	زمین|زم	زمین	زمین|زم+ین	O+N1|N1	اسم|اسم + ین
18	بست | بند	بست | بند	بست | بند	بست | بند	O	
19	استفاده	استفاده	استفاده	استفاده	N1	اسم
20	تشکیل	تشکیل	تشکیل	تشکیل	N1	اسم
21	شد | شو	شد | شو	شد | شو	شد | شو	O	
22	.	.	.	.	Si	علامت نگارشی

0	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
1	سلف	سلف|سلف	سلف	سلف|سلف	N1|N1	اسم|اسم
2	توانست | توان	توانست | توان	توانست | توان	توانست | توان	O	
3	باعث	باعث	باعث	باعث	N1	اسم
4	عمل	عمل	عمل	عمل	N1	اسم
5	تطبیق	تطبیق	تطبیق	تطبیق	N1	اسم
6	امپدانس	امپدانس	امپدانس	امپدانس	O	N1
7	بین	بین|بین|بین|ین	بین	بین|بین|بین|ب+ین	N1+O|N9|A0|V6	فعل امر مثبت|صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|ب + اسم
8	آنتن	آنتن	آنتن	آنتن	N1	اسم
9	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
10	آنتن	آنتن	آنتن	آنتن	N1	اسم
11	سوییچ	سوییچ	سوییچ	سوییچ	N1	اسم
12	شده	شد	شده	شد+ه	O+V3	فعل اسنادی + ه
13	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
14	مانع	مانع	مانع	مانع	N1	اسم
15	از	از	از	از	Pr	حرف اضافه
16	هدایت	هدایت	هدایت	هدایت	N1	اسم
17	جریان	جریان|جری|جر|جر	جریان	جریان|جری+ان|جر+ی+ان|جر+ی+ان	O+Y+N1|O+Y+N1|O+A0|N1	اسم|صفت + ان|اسم + ی + ان|اسم + ی + ان
18	DC	DC	DC	DC	O	کلمه انگلیسی
19	بین	بین|بین|بین|ین	بین	بین|بین|بین|ب+ین	N1+O|N9|A0|V6	فعل امر مثبت|صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|ب + اسم
20	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
21	دو	دو|دو|دو	دو	دو|دو|دو	N1|V6|No	عدد حرفی|فعل امر مثبت|اسم
22	واحد	واحد	واحد	واحد	A0	صفت
23	گشت | گرد	گشت | گرد	گشت | گرد	گشت | گرد	O	
24	تا	تا|تا|تا	تا	تا|تا|تا	Ab|C0|Pr	حرف اضافه|حرف ربط|اختصارات
25	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
26	دو	دو|دو|دو	دو	دو|دو|دو	N1|V6|No	عدد حرفی|فعل امر مثبت|اسم
27	واحد	واحد	واحد	واحد	A0	صفت
28	اثر	اثر|اثر	اثر	اثر|اثر	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
29	منفی	منفی	منفی	منفی	A0	صفت
30	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
31	عملکرد	عملکرد	عملکرد	عملکرد	N1	اسم
32	یکدیگر	یکدیگر	یکدیگر	یکدیگر	N8	ضمیر مشترک/متقابل
33	داشت | دار	داشت | دار	داشت | دار	داشت | دار	O	
34	.	.	.	.	Si	علامت نگارشی

0	وظیفه	وظیفه	وظیفه	وظیفه	N1	اسم
1	فیلتر	فیلتر	فیلتر	فیلتر	N1	اسم
2	SAW	SAW	SAW	SAW	O	کلمه انگلیسی
3	حذف	حذف	حذف	حذف	N1	اسم
4	فرکانس	فرکانس	فرکانس	فرکانس	N1	اسم
5	کانال	کانال	کانال	کانال	N1	اسم
6	همسایه	همسایه|سایه	همسایه	همسایه|هم+سایه	N1+O|N1	اسم|هم + اسم
7	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
8	فرکانس	فرکانس	فرکانس	فرکانس	N1	اسم
9	مزاحم	مزاحم|مزاح|مزاح	مزاحم	مزاحم|مزاح+م|مزاح+م	O+N1|O+N1|A0	صفت|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
10	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
11	.	.	.	.	Si	علامت نگارشی

0	خط	خط	خط	خط	N1	اسم
1	خروج	خروج	خروج	خروج	N1	اسم
2	RX	RX	RX	RX	O	کلمه انگلیسی
3	از	از	از	از	Pr	حرف اضافه
4	آنتن	آنتن	آنتن	آنتن	N1	اسم
5	سوئیچ	سوییچ	سوئیچ	سوییچ	N1	اسم
6	وارد	وارد	وارد	وارد	N1	اسم
7	SAW	SAW	SAW	SAW	O	کلمه انگلیسی
8	شده	شد	شده	شد+ه	O+V3	فعل اسنادی + ه
9	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
10	بعد	بعد|بعد|بعد	بعد	بعد|بعد|بعد	N9|N1|A0	صفت|اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
11	از	از	از	از	Pr	حرف اضافه
12	آن	ان	آن	ان	Ab	اختصارات
13	فرکانس	فرکانس	فرکانس	فرکانس	N1	اسم
14	مزاحم	مزاحم|مزاح|مزاح	مزاحم	مزاحم|مزاح+م|مزاح+م	O+N1|O+N1|A0	صفت|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
15	حذف	حذف	حذف	حذف	N1	اسم
16	شد | شو	شد | شو	شد | شو	شد | شو	O	
17	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
18	فقط	فقط	فقط	فقط	Ad	قید
19	فرکانس	فرکانس	فرکانس	فرکانس	N1	اسم
20	باند	باند	باند	باند	N1	اسم
21	GSM	GSM	GSM	GSM	O	کلمه انگلیسی
22	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
23	خروج	خروج	خروج	خروج	N1	اسم
24	آن	ان	آن	ان	Ab	اختصارات
25	دید | بین	دید | بین	دید | بین	دید | بین	O	
26	.	.	.	.	Si	علامت نگارشی

0	SAW	SAW	SAW	SAW	O	کلمه انگلیسی
1	همان‌گونه	همان گونه	همان‌گونه	همان‌+گونه	O	N1
2	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
3	فرکانس	فرکانس	فرکانس	فرکانس	N1	اسم
4	مزاحم	مزاحم|مزاح|مزاح	مزاحم	مزاحم|مزاح+م|مزاح+م	O+N1|O+N1|A0	صفت|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
5	را	را	را	را	Po	حرف اضافه پسین
6	حذف	حذف	حذف	حذف	N1	اسم
7	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
8	،	،	،	،	O	
9	فرکانس	فرکانس	فرکانس	فرکانس	N1	اسم
10	اصل	اصل	اصل	اصل	A0	صفت
11	GSM	GSM	GSM	GSM	O	کلمه انگلیسی
12	را	را	را	را	Po	حرف اضافه پسین
13	هم	هم|هم|هم	هم	هم|هم|هم	N8|C0|Ad	قید|حرف ربط|ضمیر مشترک/متقابل
14	خیلی	خیلی|خیلی|خیل	خیلی	خیلی|خیلی|خیل+ی	Y+N1|Ad|A0	صفت|قید|اسم + ی
15	ضعیف	ضعیف	ضعیف	ضعیف	A0	صفت
16	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
17	.	.	.	.	Si	علامت نگارشی

0	برای	برای|برا|بر	برای	برای|برا+ی|بر+ا+ی	Y+O+v1|Y+A0|Pr	حرف اضافه|صفت + ی|ریشه مضارع + ا + ی
1	تقویت	تقویت	تقویت	تقویت	N1	اسم
2	سیگنال‌های	سیگنال	سیگنال‌	سیگنال+ها+ی	Y+Pl+N1	اسم + علامت جمع + ی
3	دریافتی	دریافتی|دریافت|دریافت	دریافتی	دریافتی|دریافت+ی|دریافت+ی	Y+N1|N1|O+v2	اسم|فعل ماضی ساده:دوم شخص مفرد|اسم + ی
4	GSM	GSM	GSM	GSM	O	کلمه انگلیسی
5	بعد	بعد|بعد|بعد	بعد	بعد|بعد|بعد	N9|N1|A0	صفت|اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
6	از	از	از	از	Pr	حرف اضافه
7	SAW	SAW	SAW	SAW	O	کلمه انگلیسی
8	از	از	از	از	Pr	حرف اضافه
9	یک	یک	یک	یک	No	عدد حرفی
10	تقویت‌کننده	تقویت‌کننده	تقویت‌کننده	تقویت‌کننده	A0	صفت
11	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
12	نام	نام|نام	نام	نام|نام	V6|N1	اسم|فعل امر مثبت
13	LNA	LNA	LNA	LNA	O	کلمه انگلیسی
14	استفاده	استفاده	استفاده	استفاده	N1	اسم
15	شد | شو	شد | شو	شد | شو	شد | شو	O	
16	.	.	.	.	Si	علامت نگارشی

0	قلب	قلب	قلب	قلب	N1	اسم
1	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
2	لغت	لغت	لغت	لغت	N1	اسم
3	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
4	معنی	معنا	معنی	معنا	N1	اسم
5	دگرگون	دگرگون|دگر	دگرگون	دگرگون|دگر+گون	O+A0|A0	صفت|صفت + گون
6	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
7	قلب	قلب	قلب	قلب	N1	اسم
8	از	از	از	از	Pr	حرف اضافه
9	لحاظ	لحاظ|لحاظ	لحاظ	لحاظ|لحاظ	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
10	علم	علم	علم	علم	N1	اسم
11	اندام	اندام	اندام	اندام	N1	اسم
12	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
13	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
14	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
15	مرکز	مرکز	مرکز	مرکز	N1	اسم
16	قفسه	قفسه|قفس	قفسه	قفسه|قفس+ه	O+N1|N1	اسم|اسم + ه
17	سینه	سینه|سین	سینه	سینه|سین+ه	O+N1|N1	اسم|اسم + ه
18	(	(	(	(	O	
19	متمایل	متمایل	متمایل	متمایل	A0	صفت
20	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
21	سمت	سمت|سم|سم	سمت	سمت|سم+ت|سم+ت	O+N1|O+N1|N1	اسم|اسم + ضمیر ملکی دوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
22	چپ	چپ|چپ	چپ	چپ|چپ	A0|V6	فعل امر مثبت|صفت
23	)	)	)	)	O	
24	واقع	واقع	واقع	واقع	N1	اسم
25	شده‌است	شد	شده‌است	شد+ه+است	|O+O+v2	فعل ماضی نقلی:سوم شخص مفرد
26	،	،	،	،	O	
27	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
28	وزن	وزن	وزن	وزن	N1	اسم
29	آن	ان	آن	ان	Ab	اختصارات
30	۳۰۰	۳۰۰	۳۰۰	۳۰۰	Nu	عدد رقمی
31	گرم	گرم|گرم|گرم|گر|گر|گر	گرم	گرم|گرم|گرم|گر+م|گر+م|گر+م	O+N1|O+N1|N1|N1|A0|O+v1	صفت|اسم|اسم|فعل مضارع ساده:اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
32	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
33	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
34	خون	خون	خون	خون	N1	اسم
35	را	را	را	را	Po	حرف اضافه پسین
36	پمپاژ	پمپاژ	پمپاژ	پمپاژ	N1	اسم
37	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
38	نام	نام|نام	نام	نام|نام	V6|N1	اسم|فعل امر مثبت
39	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
40	عضو	عضو	عضو	عضو	N1	اسم
41	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
42	علت	علت|علت	علت	علت|علت	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
43	اینکه	اینکه	اینکه	اینکه	Ad	قید
44	باعث	باعث	باعث	باعث	N1	اسم
45	دگرگون	دگرگون|دگر	دگرگون	دگرگون|دگر+گون	O+A0|A0	صفت|صفت + گون
46	خون	خون	خون	خون	N1	اسم
47	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
48	تبدیل	تبدیل	تبدیل	تبدیل	N1	اسم
49	خون	خون	خون	خون	N1	اسم
50	کثیف	کثیف	کثیف	کثیف	A0	صفت
51	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
52	خون	خون	خون	خون	N1	اسم
53	تمیز	تمیز	تمیز	تمیز	A0	صفت
54	شد | شو	شد | شو	شد | شو	شد | شو	O	
55	قلب	قلب	قلب	قلب	N1	اسم
56	نام‌گذاری	نام‌گذاری|نام|نام	نام‌گذاری	نام‌گذاری|نام+گذار+ی|نام+گذار+ی	Y+O+V1|Y+O+N1|N1	اسم|اسم + گذار + ی|بن مضارع + گذار + ی
57	شده‌است	شد	شده‌است	شد+ه+است	|O+O+v2	فعل ماضی نقلی:سوم شخص مفرد
58	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
59	دگرگون	دگرگون|دگر	دگرگون	دگرگون|دگر+گون	O+A0|A0	صفت|صفت + گون
60	کردن	کرد	کردن	کرد+ن	Neg+V2	بن ماضی + ن
61	خون	خون	خون	خون	N1	اسم
62	،	،	،	،	O	
63	قلب	قلب	قلب	قلب	N1	اسم
64	مانند	مانند|مانند|مان|مان	مانند	مانند|مانند|مان+ند|مان+ند	O+N1|N9|N1|O+v1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|فعل مضارع ساده:سوم شخص جمع|اسم + فعل سوم شخص جمع
65	یک	یک	یک	یک	No	عدد حرفی
66	تلمبه	تلمبه|تلمب	تلمبه	تلمبه|تلمب+ه	O+N1|N1	اسم|اسم + ه
67	عمل	عمل	عمل	عمل	N1	اسم
68	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
69	ایا	آیا|آی	ایا	آیا|آی+ا	O+v1|NA	ضمیر پرسشی|ریشه مضارع + ا
70	دی‌ان‌ای	دی ان ای	دی‌ان‌ای	دی‌+ان+‌ای	O	N1
71	فرق	فرقه|فرق	فرق	فرقه|فرق	N1|O	اسم مفرد جمع مکسر|اسم
72	موجودات	موجود	موجود	موجود+ات	Pl+A0	صفت + علامت جمع
73	زنده	زنده	زنده	زنده	A0	صفت
74	با	با	با	با	Pr	حرف اضافه
75	غیر	غیر|غیر	غیر	غیر|غیر	N9|A0	صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
76	زنده	زنده	زنده	زنده	A0	صفت
77	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
78	؟	؟	؟	؟	Si	علامت نگارشی
79	آیا	آیا|آی	آیا	آیا|آی+ا	O+v1|NA	ضمیر پرسشی|ریشه مضارع + ا
80	ساختار	ساختار|ساخت	ساختار	ساختار|ساخت+ار	O+v2|N1	اسم|ریشه ماضی + ار
81	هوشمند	هوشمند|هوش	هوشمند	هوشمند|هوش+مند	O+N1|A0	صفت|اسم + مند
82	(	(	(	(	O	
83	وجود	وجود|وجود	وجود	وجود|وجود	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
84	نظم	نظم	نظم	نظم	N1	اسم
85	بین	بین|بین|بین|ین	بین	بین|بین|بین|ب+ین	N1+O|N9|A0|V6	فعل امر مثبت|صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|ب + اسم
86	سلول	سلول|سل	سلول	سلول|سل+ول	O+N1|N1	اسم|اسم + ول
87	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
88	اجزا	اجزا	اجزا	اجزا	N1	اسم
89	مختلف	مختلف	مختلف	مختلف	A0	صفت
90	)	)	)	)	O	
91	،	،	،	،	O	
92	موجود	موجود	موجود	موجود	A0	صفت
93	زنده	زنده	زنده	زنده	A0	صفت
94	را	را	را	را	Po	حرف اضافه پسین
95	تشکیل	تشکیل	تشکیل	تشکیل	N1	اسم
96	داد | ده	داد | ده	داد | ده	داد | ده	O	
97	!؟!	!؟!	!؟!	!؟!	O	
98	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
99	البته	البته	البته	البته	Ad	قید
100	سلول	سلول|سل	سلول	سلول|سل+ول	O+N1|N1	اسم|اسم + ول
101	سرطان	سرطان	سرطان	سرطان	N1	اسم
102	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
103	موضوع	موضوع	موضوع	موضوع	N1	اسم
104	را	را	را	را	Po	حرف اضافه پسین
105	رد	رد	رد	رد	A0	صفت
106	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
107	زیرا	زیرا	زیرا	زیرا	C0	حرف ربط
108	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
109	مقابل	مقابل|مقابل	مقابل	مقابل|مقابل	N9|A0	صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
110	از	از	از	از	Pr	حرف اضافه
111	بین	بین|بین|بین|ین	بین	بین|بین|بین|ب+ین	N1+O|N9|A0|V6	فعل امر مثبت|صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|ب + اسم
112	رفتن	رفت|رفت	رفتن	رفت+ن|رفت+ن	Neg+V2|Neg+V2	بن ماضی + ن|بن ماضی + ن
113	مقاومت	مقاومت|مقاوم	مقاومت	مقاومت|مقاوم+ت	O+A0|N1	اسم|صفت + ضمیر ملکی دوم شخص مفرد
114	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
115	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
116	مانع	مانع	مانع	مانع	N1	اسم
117	از	از	از	از	Pr	حرف اضافه
118	درست	درست|درس	درست	درست|درس+ت	O+N1|A0	صفت|اسم + ضمیر ملکی دوم شخص مفرد
119	کار	کار|کار	کار	کار|کار	V6|N1	اسم|فعل امر مثبت
120	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
121	بدن	بدن	بدن	بدن	N1	اسم
122	شد | شو	شد | شو	شد | شو	شد | شو	O	
123	(	(	(	(	O	
124	سلول	سلول|سل	سلول	سلول|سل+ول	O+N1|N1	اسم|اسم + ول
125	بعد	بعد|بعد|بعد	بعد	بعد|بعد|بعد	N9|N1|A0	صفت|اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
126	از	از	از	از	Pr	حرف اضافه
127	پایان	پایان|پای|پا|پا	پایان	پایان|پای+ان|پا+ی+ان|پا+ی+ان	O+N1|O+V1|O+N1|N1	اسم|اسم + ان|بن مضارع + ان|اسم + ان
128	عمر	عمر|عمر	عمر	عمر|عمر	N3|N1	اسم|اسم خاص اشخاص
